region,category,parameter,mode,powertrain,year,unit,value
Italy,Historical,EV sales,Vans,BEV,2015,,418
Italy,Historical,EV sales,Vans,BEV,2016,,780
Italy,Historical,EV sales,Vans,BEV,2017,,520
Italy,Historical,EV sales,Vans,PHEV,2017,,2
Italy,Historical,EV sales,Vans,BEV,2018,,612
Italy,Historical,EV sales,Vans,BEV,2019,,1018
Italy,Historical,EV sales,Vans,BEV,2020,,1085
Italy,Historical,EV sales,Vans,FCEV,2020,,1
Italy,Historical,EV sales,Vans,PHEV,2020,,53
Japan,Historical,EV sales,Vans,BEV,2011,,849
Japan,Historical,EV sales,Vans,BEV,2012,,2487
Japan,Historical,EV sales,Vans,BEV,2013,,2065
Japan,Historical,EV sales,Vans,BEV,2014,,1045
Japan,Historical,EV sales,Vans,BEV,2015,,827
Japan,Historical,EV sales,Vans,BEV,2016,,322.30499267578125
Japan,Historical,EV sales,Vans,BEV,2017,,325
Japan,Historical,EV sales,Vans,BEV,2018,,278
Japan,Historical,EV sales,Vans,BEV,2019,,521
Japan,Historical,EV sales,Vans,BEV,2020,,1185
Korea,Historical,EV sales,Vans,BEV,2015,,18
Korea,Historical,EV sales,Vans,BEV,2016,,14
Korea,Historical,EV sales,Vans,BEV,2020,,14394
Netherlands,Historical,EV sales,Vans,BEV,2010,,39
Netherlands,Historical,EV sales,Vans,BEV,2011,,72
Netherlands,Historical,EV sales,Vans,BEV,2012,,336
Netherlands,Historical,EV sales,Vans,BEV,2013,,175
Netherlands,Historical,EV sales,Vans,BEV,2014,,589
Netherlands,Historical,EV sales,Vans,BEV,2015,,202
Netherlands,Historical,EV sales,Vans,BEV,2016,,168
Netherlands,Historical,EV sales,Vans,BEV,2017,,507
Netherlands,Historical,EV sales,Vans,FCEV,2017,,1
Netherlands,Historical,EV sales,Vans,BEV,2018,,1012
Netherlands,Historical,EV sales,Vans,FCEV,2018,,2
Netherlands,Historical,EV sales,Vans,BEV,2019,,1297
Netherlands,Historical,EV sales,Vans,BEV,2020,,1640
Netherlands,Historical,EV sales,Vans,FCEV,2020,,12
Netherlands,Historical,EV sales,Vans,PHEV,2020,,33
New Zealand,Historical,EV sales,Vans,BEV,2019,,70
New Zealand,Historical,EV sales,Vans,BEV,2020,,78
New Zealand,Historical,EV sales,Vans,PHEV,2020,,1
Norway,Historical,EV sales,Vans,BEV,2011,,1
Norway,Historical,EV sales,Vans,BEV,2012,,4
Norway,Historical,EV sales,Vans,BEV,2014,,555
Norway,Historical,EV sales,Vans,BEV,2015,,712
Norway,Historical,EV sales,Vans,BEV,2016,,700
