region,category,parameter,mode,powertrain,year,unit,value
Iceland,Historical,EV stock,Cars,FCEV,2013,,18
Iceland,Historical,EV stock,Cars,PHEV,2013,,32
Iceland,Historical,EV stock,Cars,BEV,2014,,305
Iceland,Historical,EV stock,Cars,FCEV,2014,,18
Iceland,Historical,EV stock,Cars,PHEV,2014,,61
Iceland,Historical,EV stock,Cars,BEV,2015,,691
Iceland,Historical,EV stock,Cars,FCEV,2015,,1
Iceland,Historical,EV stock,Cars,PHEV,2015,,227
Iceland,Historical,EV stock,Cars,BEV,2016,,1066
Iceland,Historical,EV stock,Cars,FCEV,2016,,1
Iceland,Historical,EV stock,Cars,PHEV,2016,,1007
Iceland,Historical,EV stock,Cars,BEV,2017,,1910
Iceland,Historical,EV stock,Cars,FCEV,2017,,1
Iceland,Historical,EV stock,Cars,PHEV,2017,,3188
Iceland,Historical,EV stock,Cars,BEV,2018,,2684
Iceland,Historical,EV stock,Cars,FCEV,2018,,17
Iceland,Historical,EV stock,Cars,PHEV,2018,,6051
Iceland,Historical,EV stock,Cars,BEV,2019,,3749
Iceland,Historical,EV stock,Cars,FCEV,2019,,24
Iceland,Historical,EV stock,Cars,PHEV,2019,,8003
Iceland,Historical,EV stock,Cars,BEV,2020,,6271
Iceland,Historical,EV stock,Cars,FCEV,2020,,22
Iceland,Historical,EV stock,Cars,PHEV,2020,,10347
India,Historical,EV stock,Cars,BEV,2010,,878
India,Historical,EV stock,Cars,BEV,2011,,1327
India,Historical,EV stock,Cars,BEV,2012,,2755
India,Historical,EV stock,Cars,BEV,2013,,2946
India,Historical,EV stock,Cars,BEV,2014,,3354
India,Historical,EV stock,Cars,BEV,2015,,4354
India,Historical,EV stock,Cars,BEV,2016,,4804
India,Historical,EV stock,Cars,BEV,2017,,7000
India,Historical,EV stock,Cars,BEV,2018,,9104
India,Historical,EV stock,Cars,BEV,2019,,11185
India,Historical,EV stock,Cars,PHEV,2019,,7
India,Historical,EV stock,Cars,BEV,2020,,12739
India,Historical,EV stock,Cars,PHEV,2020,,50
Italy,Historical,EV stock,Cars,BEV,2010,,646
Italy,Historical,EV stock,Cars,BEV,2011,,759
Italy,Historical,EV stock,Cars,BEV,2012,,1218
Italy,Historical,EV stock,Cars,BEV,2013,,2012
Italy,Historical,EV stock,Cars,PHEV,2013,,182
Italy,Historical,EV stock,Cars,BEV,2014,,3052
Italy,Historical,EV stock,Cars,FCEV,2014,,10
Italy,Historical,EV stock,Cars,PHEV,2014,,518
Italy,Historical,EV stock,Cars,BEV,2015,,4448
Italy,Historical,EV stock,Cars,FCEV,2015,,11
Italy,Historical,EV stock,Cars,PHEV,2015,,1256
Italy,Historical,EV stock,Cars,BEV,2016,,5830.2900390625
Italy,Historical,EV stock,Cars,FCEV,2016,,11
Italy,Historical,EV stock,Cars,PHEV,2016,,2694.7099609375
Italy,Historical,EV stock,Cars,BEV,2017,,7809.35986328125
Italy,Historical,EV stock,Cars,FCEV,2017,,11
Italy,Historical,EV stock,Cars,PHEV,2017,,5554.7099609375
Italy,Historical,EV stock,Cars,BEV,2018,,12787.3603515625
Italy,Historical,EV stock,Cars,FCEV,2018,,12
Italy,Historical,EV stock,Cars,PHEV,2018,,10352.7099609375
Italy,Historical,EV stock,Cars,BEV,2019,,23450.359375
Italy,Historical,EV stock,Cars,FCEV,2019,,29
Italy,Historical,EV stock,Cars,PHEV,2019,,16823.7109375
Italy,Historical,EV stock,Cars,BEV,2020,,55307
Italy,Historical,EV stock,Cars,FCEV,2020,,36
Italy,Historical,EV stock,Cars,PHEV,2020,,44230.7109375
Japan,Historical,EV stock,Cars,BEV,2010,,3520
Japan,Historical,EV stock,Cars,FCEV,2010,,46
Japan,Historical,EV stock,Cars,BEV,2011,,16127
Japan,Historical,EV stock,Cars,FCEV,2011,,46
Japan,Historical,EV stock,Cars,PHEV,2011,,15
Japan,Historical,EV stock,Cars,BEV,2012,,29596
Japan,Historical,EV stock,Cars,FCEV,2012,,47
Japan,Historical,EV stock,Cars,PHEV,2012,,10983
Japan,Historical,EV stock,Cars,BEV,2013,,44352
Japan,Historical,EV stock,Cars,FCEV,2013,,51
Japan,Historical,EV stock,Cars,PHEV,2013,,25105
Japan,Historical,EV stock,Cars,BEV,2014,,70200
Japan,Historical,EV stock,Cars,FCEV,2014,,58
Japan,Historical,EV stock,Cars,PHEV,2014,,41283
Japan,Historical,EV stock,Cars,BEV,2015,,79100
Japan,Historical,EV stock,Cars,FCEV,2015,,446
Japan,Historical,EV stock,Cars,PHEV,2015,,55471
Japan,Historical,EV stock,Cars,BEV,2016,,88200
Japan,Historical,EV stock,Cars,FCEV,2016,,1501
Japan,Historical,EV stock,Cars,PHEV,2016,,64861
Japan,Historical,EV stock,Cars,BEV,2017,,102000
Japan,Historical,EV stock,Cars,FCEV,2017,,2351
Japan,Historical,EV stock,Cars,PHEV,2017,,100861
Japan,Historical,EV stock,Cars,BEV,2018,,112200
Japan,Historical,EV stock,Cars,FCEV,2018,,2961
Japan,Historical,EV stock,Cars,PHEV,2018,,124081
Japan,Historical,EV stock,Cars,BEV,2019,,122100
Japan,Historical,EV stock,Cars,FCEV,2019,,3634
Japan,Historical,EV stock,Cars,PHEV,2019,,141681
Japan,Historical,EV stock,Cars,BEV,2020,,136700
Japan,Historical,EV stock,Cars,FCEV,2020,,4100
Japan,Historical,EV stock,Cars,PHEV,2020,,156381
Korea,Historical,EV stock,Cars,BEV,2010,,61
Korea,Historical,EV stock,Cars,BEV,2011,,335
Korea,Historical,EV stock,Cars,BEV,2012,,849
Korea,Historical,EV stock,Cars,BEV,2013,,1447
Korea,Historical,EV stock,Cars,BEV,2014,,2704
Korea,Historical,EV stock,Cars,BEV,2015,,5755
Korea,Historical,EV stock,Cars,FCEV,2015,,29
Korea,Historical,EV stock,Cars,PHEV,2015,,252
Korea,Historical,EV stock,Cars,BEV,2016,,10440
Korea,Historical,EV stock,Cars,FCEV,2016,,87
Korea,Historical,EV stock,Cars,PHEV,2016,,583
Korea,Historical,EV stock,Cars,BEV,2017,,24410
Korea,Historical,EV stock,Cars,FCEV,2017,,162
Korea,Historical,EV stock,Cars,PHEV,2017,,1253
Korea,Historical,EV stock,Cars,BEV,2018,,54939
Korea,Historical,EV stock,Cars,FCEV,2018,,1068
Korea,Historical,EV stock,Cars,PHEV,2018,,5620
Korea,Historical,EV stock,Cars,BEV,2019,,88362
Korea,Historical,EV stock,Cars,FCEV,2019,,5068
Korea,Historical,EV stock,Cars,PHEV,2019,,8350
Korea,Historical,EV stock,Cars,BEV,2020,,119691
Korea,Historical,EV stock,Cars,FCEV,2020,,10041
Korea,Historical,EV stock,Cars,PHEV,2020,,16859
Mexico,Historical,EV stock,Cars,BEV,2011,,3
Mexico,Historical,EV stock,Cars,BEV,2012,,91
Mexico,Historical,EV stock,Cars,BEV,2013,,103
