region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV stock,Buses,FCEV,2020,,5290
China,Historical,EV stock,Buses,PHEV,2020,,81064.7578125
Denmark,Historical,EV stock,Buses,BEV,2010,,9
Denmark,Historical,EV stock,Buses,BEV,2011,,11
Denmark,Historical,EV stock,Buses,BEV,2012,,12
Denmark,Historical,EV stock,Buses,BEV,2013,,15
Denmark,Historical,EV stock,Buses,BEV,2014,,15
Denmark,Historical,EV stock,Buses,BEV,2015,,15
Denmark,Historical,EV stock,Buses,BEV,2016,,11
Denmark,Historical,EV stock,Buses,BEV,2017,,11
Denmark,Historical,EV stock,Buses,BEV,2018,,13
Denmark,Historical,EV stock,Buses,BEV,2019,,91
Denmark,Historical,EV stock,Buses,PHEV,2019,,24
Denmark,Historical,EV stock,Buses,BEV,2020,,85
Denmark,Historical,EV stock,Buses,FCEV,2020,,3
Denmark,Historical,EV stock,Buses,PHEV,2020,,23
Finland,Historical,EV stock,Buses,BEV,2016,,13
Finland,Historical,EV stock,Buses,PHEV,2016,,13
Finland,Historical,EV stock,Buses,BEV,2017,,22
Finland,Historical,EV stock,Buses,PHEV,2017,,22
Finland,Historical,EV stock,Buses,BEV,2018,,21
Finland,Historical,EV stock,Buses,PHEV,2018,,21
Finland,Historical,EV stock,Buses,BEV,2019,,62
Finland,Historical,EV stock,Buses,PHEV,2019,,62
Finland,Historical,EV stock,Buses,BEV,2020,,87
Finland,Historical,EV stock,Buses,PHEV,2020,,87
France,Historical,EV stock,Buses,BEV,2010,,16
France,Historical,EV stock,Buses,BEV,2011,,37
France,Historical,EV stock,Buses,BEV,2012,,62
France,Historical,EV stock,Buses,BEV,2013,,86
France,Historical,EV stock,Buses,BEV,2014,,126
France,Historical,EV stock,Buses,BEV,2015,,177
France,Historical,EV stock,Buses,BEV,2016,,251
France,Historical,EV stock,Buses,PHEV,2016,,1
France,Historical,EV stock,Buses,BEV,2017,,251
France,Historical,EV stock,Buses,PHEV,2017,,1
France,Historical,EV stock,Buses,BEV,2018,,342
France,Historical,EV stock,Buses,PHEV,2018,,1
France,Historical,EV stock,Buses,BEV,2019,,609
France,Historical,EV stock,Buses,FCEV,2019,,25
France,Historical,EV stock,Buses,PHEV,2019,,1
France,Historical,EV stock,Buses,BEV,2020,,762
France,Historical,EV stock,Buses,FCEV,2020,,21
Germany,Historical,EV stock,Buses,BEV,2016,,107
Germany,Historical,EV stock,Buses,PHEV,2016,,120
Germany,Historical,EV stock,Buses,BEV,2017,,136
Germany,Historical,EV stock,Buses,PHEV,2017,,120
Germany,Historical,EV stock,Buses,BEV,2018,,158
Germany,Historical,EV stock,Buses,PHEV,2018,,120
Germany,Historical,EV stock,Buses,BEV,2019,,385
Germany,Historical,EV stock,Buses,FCEV,2019,,24
Germany,Historical,EV stock,Buses,PHEV,2019,,120
Germany,Historical,EV stock,Buses,BEV,2020,,755
Germany,Historical,EV stock,Buses,FCEV,2020,,49
Germany,Historical,EV stock,Buses,PHEV,2020,,129
Greece,Historical,EV stock,Buses,BEV,2018,,1
Greece,Historical,EV stock,Buses,BEV,2019,,2
Greece,Historical,EV stock,Buses,BEV,2020,,5
Iceland,Historical,EV stock,Buses,FCEV,2010,,3
Iceland,Historical,EV stock,Buses,BEV,2012,,1
Iceland,Historical,EV stock,Buses,BEV,2013,,1
Iceland,Historical,EV stock,Buses,BEV,2014,,1
Iceland,Historical,EV stock,Buses,BEV,2015,,1
Iceland,Historical,EV stock,Buses,BEV,2016,,1
Iceland,Historical,EV stock,Buses,BEV,2017,,2
Iceland,Historical,EV stock,Buses,BEV,2018,,15
Iceland,Historical,EV stock,Buses,BEV,2019,,15
Iceland,Historical,EV stock,Buses,BEV,2020,,15
Italy,Historical,EV stock,Buses,BEV,2016,,38
Italy,Historical,EV stock,Buses,BEV,2017,,46
Italy,Historical,EV stock,Buses,BEV,2018,,106
Italy,Historical,EV stock,Buses,BEV,2019,,537
Italy,Historical,EV stock,Buses,BEV,2020,,586
Italy,Historical,EV stock,Buses,FCEV,2020,,11
Japan,Historical,EV stock,Buses,BEV,2011,,2
Japan,Historical,EV stock,Buses,BEV,2012,,6
