region,category,parameter,mode,powertrain,year,unit,value
Norway,Historical,EV sales,Trucks,BEV,2017,,2
Norway,Historical,EV sales,Trucks,BEV,2020,,23
Norway,Historical,EV sales,Trucks,FCEV,2020,,3
Norway,Historical,EV sales,Trucks,PHEV,2020,,1
Other Europe,Historical,EV sales,Trucks,BEV,2014,,5
Other Europe,Historical,EV sales,Trucks,BEV,2016,,8
Other Europe,Historical,EV sales,Trucks,FCEV,2016,,1
Other Europe,Historical,EV sales,Trucks,BEV,2018,,10
Other Europe,Historical,EV sales,Trucks,BEV,2019,,4
Other Europe,Historical,EV sales,Trucks,BEV,2020,,4
Poland,Historical,EV sales,Trucks,BEV,2013,,1
Poland,Historical,EV sales,Trucks,BEV,2016,,1
Poland,Historical,EV sales,Trucks,BEV,2019,,4
Poland,Historical,EV sales,Trucks,BEV,2020,,1
Spain,Historical,EV sales,Trucks,BEV,2016,,13
Spain,Historical,EV sales,Trucks,BEV,2017,,2
Spain,Historical,EV sales,Trucks,BEV,2019,,5
Spain,Historical,EV sales,Trucks,BEV,2020,,8
Sweden,Historical,EV sales,Trucks,BEV,2020,,18
Sweden,Historical,EV sales,Trucks,FCEV,2020,,1
Switzerland,Historical,EV sales,Trucks,BEV,2019,,16
Switzerland,Historical,EV sales,Trucks,FCEV,2019,,4
Switzerland,Historical,EV sales,Trucks,BEV,2020,,7
Switzerland,Historical,EV sales,Trucks,FCEV,2020,,8
United Kingdom,Historical,EV sales,Trucks,BEV,2010,,9
United Kingdom,Historical,EV sales,Trucks,BEV,2011,,5
United Kingdom,Historical,EV sales,Trucks,BEV,2012,,8
United Kingdom,Historical,EV sales,Trucks,BEV,2014,,6
United Kingdom,Historical,EV sales,Trucks,BEV,2015,,3
United Kingdom,Historical,EV sales,Trucks,BEV,2016,,9
United Kingdom,Historical,EV sales,Trucks,BEV,2019,,10
United Kingdom,Historical,EV sales,Trucks,BEV,2020,,4
World,Historical,EV sales,Trucks,BEV,2010,,20.926000595092773
World,Historical,EV sales,Trucks,BEV,2011,,203.59300231933594
World,Historical,EV sales,Trucks,BEV,2012,,69
World,Historical,EV sales,Trucks,BEV,2013,,338
World,Historical,EV sales,Trucks,BEV,2014,,153
World,Historical,EV sales,Trucks,BEV,2015,,5797
World,Historical,EV sales,Trucks,BEV,2016,,4638
World,Historical,EV sales,Trucks,FCEV,2016,,1
World,Historical,EV sales,Trucks,BEV,2017,,3810
World,Historical,EV sales,Trucks,BEV,2018,,1769
World,Historical,EV sales,Trucks,FCEV,2018,,402
World,Historical,EV sales,Trucks,BEV,2019,,6538
World,Historical,EV sales,Trucks,FCEV,2019,,2020
World,Historical,EV sales,Trucks,PHEV,2019,,159
World,Historical,EV sales,Trucks,BEV,2020,,7409
World,Historical,EV sales,Trucks,FCEV,2020,,33
World,Historical,EV sales,Trucks,PHEV,2020,,28
